study	gene	cohort_stratum	lesion_group	variant_class	consequence_class	origin	maf_max	count_unit	n_case_carriers	n_cases	comparator	n_control_carriers	n_controls	expected_count	effect	effect_measure	effect_bound	ci_low	ci_high	pvalue	pvalue_test	pvalue_adjusted	pvalue_adjustment	case_cohorts	control_cohorts	method_note	source
PMID:34324492	HGNC:1008	all		cnv_deletion	lof	any	0.01	individuals	1	7107	control_cohort	71	14040							1.0	permutation	1.0	familywise_permutation	decipher;isca;signature;taa_cases	gain_controls;ottawa_controls;wtccc_controls	Cases combine congenital heart disease with 777 sporadic thoracic aortic aneurysm probands (of 7,958 contributing individuals); the study reports the CHD-only contribution separately for significant genes. A carrier is an individual with a rare deletion (MAF below 0.01) overlapping the gene.	audain2021_s6
PMID:42230622	HGNC:1008	all		snv_indel	lof	any	0.001	individuals	0	3876	control_cohort	4	45082		0.0	odds_ratio		0.0	17.6	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	all		snv_indel	missense_damaging	any	0.001	individuals	1	3876	control_cohort	2	45082		5.82	odds_ratio		0.0986	112.0	0.219	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	all		snv_indel	synonymous	any	0.001	individuals	9	3876	control_cohort	112	45082		0.934	odds_ratio		0.416	1.84	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	nonsyndromic		snv_indel	lof	any	0.001	individuals	0	2405	control_cohort	4	45082		0.0	odds_ratio		0.0	28.399	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	nonsyndromic		snv_indel	missense_damaging	any	0.001	individuals	1	2405	control_cohort	2	45082		9.3754	odds_ratio		0.15886	180.02	0.14437	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	nonsyndromic		snv_indel	synonymous	any	0.001	individuals	4	2405	control_cohort	112	45082		0.66892	odds_ratio		0.179	1.7633	0.66805	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	syndromic		snv_indel	lof	any	0.001	individuals	0	1471	control_cohort	4	45082		0.0	odds_ratio		0.0	46.5	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	syndromic		snv_indel	missense_damaging	any	0.001	individuals	0	1471	control_cohort	2	45082		0.0	odds_ratio		0.0	163.0	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:1008	syndromic		snv_indel	synonymous	any	0.001	individuals	5	1471	control_cohort	112	45082		1.37	odds_ratio		0.436	3.3	0.423	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:34324492	HGNC:10249	all		cnv_deletion	lof	any	0.01	individuals	0	7107	control_cohort	5	14040							1.0	permutation	1.0	familywise_permutation	decipher;isca;signature;taa_cases	gain_controls;ottawa_controls;wtccc_controls	Cases combine congenital heart disease with 777 sporadic thoracic aortic aneurysm probands (of 7,958 contributing individuals); the study reports the CHD-only contribution separately for significant genes. A carrier is an individual with a rare deletion (MAF below 0.01) overlapping the gene.	audain2021_s6
PMID:42230622	HGNC:10249	all		snv_indel	lof	any	0.001	individuals	5	3876	control_cohort	13	45082		4.48	odds_ratio		1.25	13.4	0.0111	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	all		snv_indel	missense_damaging	any	0.001	individuals	11	3876	control_cohort	171	45082		0.747	odds_ratio		0.366	1.37	0.41	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	all		snv_indel	synonymous	any	0.001	individuals	12	3876	control_cohort	172	45082		0.811	odds_ratio		0.411	1.46	0.584	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	nonsyndromic		snv_indel	lof	any	0.001	individuals	3	2405	control_cohort	13	45082		4.3297	odds_ratio		0.79088	15.772	0.044313	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	nonsyndromic		snv_indel	missense_damaging	any	0.001	individuals	6	2405	control_cohort	171	45082		0.65686	odds_ratio		0.23749	1.4616	0.39047	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	nonsyndromic		snv_indel	synonymous	any	0.001	individuals	6	2405	control_cohort	172	45082		0.65303	odds_ratio		0.23612	1.4529	0.39082	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	syndromic		snv_indel	lof	any	0.001	individuals	2	1471	control_cohort	13	45082		4.72	odds_ratio		0.517	20.9	0.0798	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	syndromic		snv_indel	missense_damaging	any	0.001	individuals	5	1471	control_cohort	171	45082		0.896	odds_ratio		0.287	2.14	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10249	syndromic		snv_indel	synonymous	any	0.001	individuals	6	1471	control_cohort	172	45082		1.07	odds_ratio		0.386	2.38	0.828	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	all		snv_indel	lof	any	0.001	individuals	0	3876	control_cohort	2	45082		0.0	odds_ratio		0.0	61.9	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	all		snv_indel	missense_damaging	any	0.001	individuals	3	3876	control_cohort	11	45082		3.17	odds_ratio		0.568	12.0	0.0935	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	all		snv_indel	synonymous	any	0.001	individuals	5	3876	control_cohort	73	45082		0.796	odds_ratio		0.251	1.95	0.833	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	nonsyndromic		snv_indel	lof	any	0.001	individuals	0	2405	control_cohort	2	45082		0.0	odds_ratio		0.0	100.01	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	nonsyndromic		snv_indel	missense_damaging	any	0.001	individuals	1	2405	control_cohort	11	45082		1.7044	odds_ratio		0.039581	11.734	0.46407	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	nonsyndromic		snv_indel	synonymous	any	0.001	individuals	3	2405	control_cohort	73	45082		0.77006	odds_ratio		0.15508	2.3437	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	syndromic		snv_indel	lof	any	0.001	individuals	0	1471	control_cohort	2	45082		0.0	odds_ratio		0.0	163.0	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	syndromic		snv_indel	missense_damaging	any	0.001	individuals	2	1471	control_cohort	11	45082		5.58	odds_ratio		0.6	25.6	0.0618	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:42230622	HGNC:10252	syndromic		snv_indel	synonymous	any	0.001	individuals	2	1471	control_cohort	73	45082		0.839	odds_ratio		0.0997	3.15	1.0	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
PMID:34324492	HGNC:10477	all		cnv_deletion	lof	any	0.01	individuals	2	7107	control_cohort	1	14040							0.266373	permutation	1.0	familywise_permutation	decipher;isca;signature;taa_cases	gain_controls;ottawa_controls;wtccc_controls	Cases combine congenital heart disease with 777 sporadic thoracic aortic aneurysm probands (of 7,958 contributing individuals); the study reports the CHD-only contribution separately for significant genes. A carrier is an individual with a rare deletion (MAF below 0.01) overlapping the gene.	audain2021_s6
PMID:42230622	HGNC:10477	all		snv_indel	lof	any	0.001	individuals	1	3876	control_cohort	0	45082			odds_ratio	unbounded_above	0.298		0.0792	fisher_exact			cnchd;ddd;nottingham	ukbb		audain2026_sd3
