dataset	tissue	stage	percentile	value	unit	n_genes
E-MTAB-6814	forebrain	10 week post conception	0	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	1	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	2	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	3	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	4	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	5	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	6	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	7	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	8	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	9	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	10	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	11	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	12	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	13	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	14	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	15	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	16	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	17	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	18	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	19	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	20	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	21	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	22	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	23	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	24	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	25	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	26	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	27	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	28	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	29	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	30	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	31	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	32	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	33	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	34	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	35	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	36	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	37	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	38	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	39	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	40	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	41	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	42	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	43	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	44	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	45	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	46	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	47	0.0	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	48	0.1	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	49	0.1	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	50	0.1	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	51	0.2	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	52	0.2	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	53	0.2	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	54	0.3	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	55	0.3	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	56	0.4	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	57	0.4	tpm	58735
E-MTAB-6814	forebrain	10 week post conception	58	0.5	tpm	58735
