dataset	gene	tissue	stage	median_abundance	unit	q25	q75	n_samples
E-MTAB-6814	HGNC:1008	forebrain	10 week post conception	114.0	tpm			1
E-MTAB-6814	HGNC:1008	forebrain	11 week post conception	119.0	tpm	101.0	142.0	4
E-MTAB-6814	HGNC:1008	forebrain	12 week post conception	167.0	tpm			1
E-MTAB-6814	HGNC:1008	forebrain	13 week post conception	133.0	tpm	107.0	140.0	3
E-MTAB-6814	HGNC:1008	forebrain	16 week post conception	131.0	tpm			2
E-MTAB-6814	HGNC:1008	forebrain	18 week post conception	114.0	tpm			1
E-MTAB-6814	HGNC:1008	forebrain	19 week post conception	107.0	tpm	79.0	113.0	5
E-MTAB-6814	HGNC:1008	forebrain	4 week post conception	108.0	tpm	103.0	108.0	3
E-MTAB-6814	HGNC:1008	forebrain	5 week post conception	107.0	tpm			2
E-MTAB-6814	HGNC:1008	forebrain	7 week post conception	108.0	tpm	106.0	121.0	3
E-MTAB-6814	HGNC:1008	forebrain	8 week post conception	100.0	tpm	94.0	102.0	4
E-MTAB-6814	HGNC:1008	forebrain	9 week post conception	76.0	tpm	74.0	86.0	3
E-MTAB-6814	HGNC:1008	forebrain	adolescent	9.0	tpm	7.0	10.0	4
E-MTAB-6814	HGNC:1008	forebrain	elderly	10.0	tpm			2
E-MTAB-6814	HGNC:1008	forebrain	infant	17.0	tpm			2
E-MTAB-6814	HGNC:1008	forebrain	middle adult	13.0	tpm			2
E-MTAB-6814	HGNC:1008	forebrain	neonate	54.0	tpm	45.0	57.0	3
E-MTAB-6814	HGNC:1008	forebrain	school age child	10.0	tpm			2
E-MTAB-6814	HGNC:1008	forebrain	toddler	9.0	tpm	7.0	9.0	3
E-MTAB-6814	HGNC:1008	forebrain	young adult	13.0	tpm	11.0	15.0	5
E-MTAB-6814	HGNC:1008	heart	10 week post conception	28.0	tpm	23.0	32.0	4
E-MTAB-6814	HGNC:1008	heart	11 week post conception	32.0	tpm	27.0	36.0	4
E-MTAB-6814	HGNC:1008	heart	12 week post conception	16.0	tpm			2
