hgnc_id	symbol	name	aliases	ensembl_gene	ncbi_gene	locus	uniprot	mane_select
HGNC:1008	BCL9	BCL9 transcription coactivator		ENSG00000116128	607	1q21.2	O00512	NM_004326.4
HGNC:10249	ROBO1	roundabout guidance receptor 1	DUTT1|FLJ21882|SAX3	ENSG00000169855	6091	3p12.3	Q9Y6N7	NM_002941.4
HGNC:10252	ROCK2	Rho associated coiled-coil containing protein kinase 2		ENSG00000134318	9475	2p25.1	O75116	NM_004850.5
HGNC:10477	RXRA	retinoid X receptor alpha	NR2B1|RXRalpha|RXR-alpha	ENSG00000186350	6256	9q34.2	P19793	NM_002957.6
HGNC:10593	SCN5A	sodium voltage-gated channel alpha subunit 5	Nav1.5|LQT3|HB1|HBBD|PFHB1|IVF|HB2|HH1|SSS1|CDCD2|CMPD2|ICCD	ENSG00000183873	6331	3p22.2	Q14524	NM_000335.5
HGNC:10727	SEMA3E	semaphorin 3E	M-SemaK|KIAA0331|coll-5	ENSG00000170381	9723	7q21.11	O15041	NM_012431.3
HGNC:1076	BMPR1A	bone morphogenetic protein receptor type 1A	ALK3|CD292	ENSG00000107779	657	10q23.2	P36894	NM_004329.3
HGNC:1078	BMPR2	bone morphogenetic protein receptor type 2	BRK-3|T-ALK|BMPR3|BMPR-II	ENSG00000204217	659	2q33.1-q33.2	Q13873	NM_001204.7
HGNC:11128	SNAI1	snail family transcriptional repressor 1	SNA|SLUGH2|SNAH|SNAIL1|SNAIL	ENSG00000124216	6615	20q13.13	O95863	NM_005985.4
HGNC:11291	SRF	serum response factor	MCM1	ENSG00000112658	6722	6p21.1	P11831	NM_003131.4
HGNC:1152	POPDC1	popeye domain cAMP effector 1	POP1|HBVES	ENSG00000112276	11149	6q21	Q8NE79	NM_001199563.2
HGNC:11592	TBX1	T-box transcription factor 1	CATCH22	ENSG00000184058	6899	22q11.21	O43435	NM_001379200.1
HGNC:11598	TBX20	T-box transcription factor 20		ENSG00000164532	57057	7p14.2	Q9UMR3	NM_001077653.2
HGNC:11604	TBX5	T-box transcription factor 5		ENSG00000089225	6910	12q24.21	Q99593	NM_181486.4
HGNC:11632	TCF21	transcription factor 21	POD1|bHLHa23	ENSG00000118526	6943	6q23.2	O43680	NM_003206.4
HGNC:11701	CRIPTO	cripto, EGF-CFC family member	CR|Cripto-1|CR-1	ENSG00000241186	6997	3p21.31	P13385	NM_003212.4
HGNC:11743	TFAP2B	transcription factor AP-2 beta	AP2-B|AP-2beta	ENSG00000008196	7021	6p12.3	Q92481	NM_003221.4
HGNC:11843	TLL1	tolloid like 1		ENSG00000038295	7092	4q32.3	O43897	NM_012464.5
HGNC:12525	UGDH	UDP-glucose 6-dehydrogenase	GDH|UDPGDH|UDP-GlcDH|UGD	ENSG00000109814	7358	4p14	O60701	NM_003359.4
HGNC:12637	KDM6A	lysine demethylase 6A		ENSG00000147050	7403	Xp11.3	O15550	NM_001291415.2
HGNC:12665	VCL	vinculin	VINC	ENSG00000035403	7414	10q22.2	P18206	NM_014000.3
HGNC:12680	VEGFA	vascular endothelial growth factor A	VEGF-A|VPF	ENSG00000112715	7422	6p21.1	P15692	NM_003376.6
HGNC:12757	WDR5	WD repeat domain 5	SWD3|CFAP89|BIG-3	ENSG00000196363	11091	9q34.2	P61964	NM_017588.3
HGNC:12776	WNT11	Wnt family member 11		ENSG00000085741	7481	11q13.5	O96014	NM_004626.3
HGNC:12874	ZIC3	Zic family zinc finger 3	HTX|ZNF203	ENSG00000156925	7547	Xq26.3	O60481	NM_003413.4
HGNC:13672	KLF13	KLF transcription factor 13	RFLAT-1|BTEB3|NSLP1|FKLF-2	ENSG00000169926	51621	15q13.3	Q9Y2Y9	NM_015995.4
HGNC:13681	DCHS1	dachsous cadherin-related 1	FIB1|KIAA1773|FLJ11790|CDHR6	ENSG00000166341	8642	11p15.4	Q96JQ0	NM_003737.4
HGNC:14180	PDIA2	protein disulfide isomerase family A member 2	PDA2|PDI|PDIR	ENSG00000185615	64714	16p13.3	Q13087	NM_006849.4
HGNC:143	ACTC1	actin alpha cardiac muscle 1	CMD1R	ENSG00000159251	70	15q14	P68032	NM_005159.5
HGNC:14357	MMP21	matrix metallopeptidase 21		ENSG00000154485	118856	10q26.2	Q8N119	NM_147191.1
HGNC:14630	CRELD1	CRELD disulfide isomerase 1	CIRRIN	ENSG00000163703	78987	3p25.3	Q96HD1	NM_001077415.3
HGNC:14881	ZEB2	zinc finger E-box binding homeobox 2	KIAA0569|SIP-1|SIP1	ENSG00000169554	9839	2q22.3	O60315	NM_014795.4
HGNC:15802	GATA5	GATA binding protein 5	bB379O24.1|GATAS	ENSG00000130700	140628	20q13.33	Q9BWX5	NM_080473.5
HGNC:15819	ANKRD1	ankyrin repeat domain 1	C-193|ALRP|CARP|CVARP|MCARP	ENSG00000148677	27063	10q23.31	Q15327	NM_014391.3
